dataset,trees,budget,selector,status,elapsed_seconds,timeout_seconds,run_dir,message
wine-quality-red,5,20000,modal,timeout,600.1288952000032,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wine-quality-red\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
wine-quality-red,10,20000,modal,timeout,600.1735367999936,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wine-quality-red\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
wine-quality-white,5,20000,modal,timeout,600.3224550000014,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wine-quality-white\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
wine-quality-white,10,20000,modal,timeout,600.2810271000053,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wine-quality-white\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
wine-recog,5,20000,modal,completed,2.9172800999949686,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wine-recog\trees_5\B_20000\selector_modal,
wine-recog,10,20000,modal,timeout,600.0177288999985,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wine-recog\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
wine-recognition,5,20000,modal,completed,1.8693503999966197,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wine-recognition\trees_5\B_20000\selector_modal,
wine-recognition,10,20000,modal,timeout,600.0189274000004,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wine-recognition\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
wpbc,5,20000,modal,completed,2.7924455999891507,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wpbc\trees_5\B_20000\selector_modal,
wpbc,10,20000,modal,timeout,600.0311924999987,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wpbc\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
xd6,5,20000,modal,completed,1.932459799994831,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_5\B_20000\selector_modal,
xd6,10,20000,modal,completed,1.8515580000093905,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_10\B_20000\selector_modal,
zernike,5,20000,modal,timeout,600.2449573999911,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\zernike\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
zernike,10,20000,modal,timeout,600.4723938000097,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\zernike\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
appendicitis,5,20000,modal,skipped_existing,,,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_modal,
appendicitis,10,20000,modal,skipped_existing,,,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_modal,
