budget,dataset,elapsed_seconds,message,run_dir,selector,status,timeout_seconds,trees
20000,heart-c,2.904841999999917,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_info_gain,info_gain,completed,300,5
20000,heart-c,2.9446821000001364,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_modal,modal,completed,300,5
20000,heart-c,3.0265473999997994,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_p_value,p_value,completed,300,5
20000,heart-c,3.00202790000003,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_random_node,random_node,completed,300,5
20000,heart-c,3.012658700000429,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_shapley,shapley,completed,300,5
20000,heart-h,4.547624000000724,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_info_gain,info_gain,completed,300,10
20000,heart-h,4.193278500000133,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_modal,modal,completed,300,10
20000,heart-h,4.475876599999538,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_p_value,p_value,completed,300,10
20000,heart-h,3.968990099998337,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_random_node,random_node,completed,300,10
20000,heart-h,3.405916599998818,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_shapley,shapley,completed,300,10
