dataset,trees,budget,selector,status,elapsed_seconds,timeout_seconds,run_dir,message
ecoli,5,20000,random_node,completed,20.98321810000016,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_random_node,
ecoli,10,20000,info_gain,timeout,300.0149757999998,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_info_gain,stopped after threshold of 300 seconds
ecoli,10,20000,shapley,timeout,300.13242510000055,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_shapley,stopped after threshold of 300 seconds
ecoli,10,20000,p_value,timeout,300.0287625000001,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_p_value,stopped after threshold of 300 seconds
ecoli,10,20000,random_node,timeout,300.2969327999999,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_random_node,stopped after threshold of 300 seconds
glass2,5,20000,info_gain,completed,2.9084625999994387,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_5\B_20000\selector_info_gain,
glass2,5,20000,shapley,completed,2.221830399999817,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_5\B_20000\selector_shapley,
glass2,5,20000,p_value,completed,2.1538743999999497,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_5\B_20000\selector_p_value,
glass2,5,20000,random_node,completed,1.9801400000005742,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_5\B_20000\selector_random_node,
glass2,10,20000,info_gain,completed,3.9331223999997746,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_10\B_20000\selector_info_gain,
glass2,10,20000,shapley,completed,7.404246299999613,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_10\B_20000\selector_shapley,
